Time1,Time2,Mech Data,new_column
1.53,2.29,0.035650602,
1.54,2.31,0.035650602,0.03553012
1.55,2.32,0.03560241,0.035819277
1.56,2.34,0.03560241,
1.57,2.35,0.03560241,0.035819277
1.58,2.37,0.03560241,0.035819277
1.59,2.38,0.035686747,
1.6,2.4,0.035686747,0.035819277
1.61,2.41,0.035686747,0.035638554
1.62,2.42,0.035686747,
1.63,2.44,0.035506024,0.035638554
1.64,2.45,0.035506024,0.035638554
1.65,2.47,0.035506024,
1.66,2.48,0.035506024,0.035638554
1.67,2.5,0.035783133,0.035698795
1.68,2.51,0.035783133,
1.69,2.53,0.035783133,0.035698795
1.7,2.54,0.035783133,0.035698795
1.71,2.56,0.035710843,
1.72,2.57,0.035710843,0.035698795
1.73,2.59,0.035710843,0.035578313
1.74,2.6,0.035710843,0.035578313
1.75,2.62,0.035771084,
1.76,2.63,0.035771084,0.035578313
1.77,2.65,0.035771084,
1.78,2.66,0.035771084,0.035578313
1.79,2.68,0.03560241,0.035409639
1.8,2.69,0.03560241,0.035409639
1.81,2.7,0.03560241,
1.82,2.72,0.03560241,0.035409639
1.83,2.73,0.03553012,0.035409639
1.84,2.75,0.03553012,
1.85,2.76,0.03553012,0.035903614
1.86,2.78,0.03553012,0.035903614
1.87,2.79,0.035566265,
1.88,2.81,0.035566265,0.035903614
1.89,2.82,0.035566265,0.035903614
1.9,2.84,0.035566265,
1.91,2.85,0.035457831,0.035650602
1.92,2.87,0.035457831,0.035650602
1.93,2.88,0.035457831,
1.94,2.9,0.035457831,0.035650602
1.95,2.91,0.035819277,0.035650602
1.96,2.93,0.035819277,
1.97,2.94,0.035819277,0.035771084
1.98,2.96,0.035819277,0.035771084
1.99,2.97,0.035710843,
2,3,0.035710843,0.035771084
2.01,3,0.035710843,0.035771084
2.02,3.02,0.035710843,
2.03,3.03,0.035554217,0.035710843
2.04,3.04,0.035554217,0.035710843
2.05,3.06,0.035554217,
2.06,3.07,0.035554217,0.035710843
2.07,3.09,0.035831325,0.035710843
2.08,3.1,0.035831325,0.035626506
2.09,3.12,0.035831325,
2.1,3.13,0.035831325,0.035626506
2.11,3.15,0.035710843,0.035626506
2.12,3.16,0.035710843,
2.13,3.18,0.035710843,0.035626506
2.14,3.19,0.035710843,0.03573494
2.15,3.21,0.035710843,
2.16,3.22,0.035710843,0.03573494
2.17,3.24,0.035710843,0.03573494
2.18,3.25,0.035710843,
2.19,3.27,0.035722892,0.03573494
2.2,3.28,0.035722892,0.035506024
2.21,3.3,0.035722892,
2.22,3.31,0.035722892,0.035506024
2.23,3.32,0.035759036,0.035506024
2.24,3.34,0.035759036,
2.25,3.36,0.035759036,0.035506024
2.26,3.37,0.035759036,0.035650602
2.27,3.38,0.03560241,
2.28,3.4,0.03560241,0.035650602
2.29,3.41,0.03560241,0.035650602
2.3,3.43,0.03560241,
2.31,3.44,0.035674699,0.035650602
2.32,3.46,0.035674699,0.03560241
2.33,3.47,0.035674699,
2.34,3.49,0.035674699,0.03560241
2.35,3.5,0.03553012,0.03560241
2.36,3.52,0.03553012,
2.37,3.53,0.03553012,0.03560241
2.38,3.55,0.03553012,0.035686747
2.39,3.56,0.035590361,
2.4,3.58,0.035590361,0.035686747
2.41,3.59,0.035590361,0.035686747
2.42,3.61,0.035590361,0.035686747
2.43,3.62,0.035759036,
2.44,3.64,0.035759036,0.035506024
2.45,3.65,0.035759036,0.035506024
2.46,3.66,0.035759036,
2.47,3.68,0.035590361,0.035506024
2.48,3.69,0.035590361,0.035506024
2.49,3.71,0.035590361,
2.5,3.72,0.035590361,0.035783133
2.51,3.74,0.035783133,0.035783133
2.52,3.75,0.035783133,
2.53,3.77,0.035783133,0.035783133
2.54,3.78,0.035783133,0.035783133
2.55,3.8,0.035578313,
2.56,3.81,0.035578313,0.035710843
2.57,3.83,0.035578313,0.035710843
2.58,3.84,0.035578313,
2.59,3.86,0.035843373,0.035710843
2.6,3.87,0.035843373,0.035710843
2.61,3.89,0.035843373,
2.62,3.9,0.035843373,0.035771084
2.63,3.92,0.035807229,0.035771084
2.64,3.93,0.035807229,
2.65,3.94,0.035807229,0.035771084
2.66,3.96,0.035807229,0.035771084
2.67,3.98,0.035662651,
2.68,3.99,0.035662651,0.03560241
2.69,4.01,0.035662651,0.03560241
2.7,4.02,0.035662651,0.03560241
2.71,4.03,0.035698795,
2.72,4.05,0.035698795,0.03560241
2.73,4.06,0.035698795,0.03553012
2.74,4.08,0.035698795,
2.75,4.09,0.035771084,0.03553012
2.76,4.11,0.035771084,0.03553012
2.77,4.12,0.035771084,
2.78,4.14,0.035771084,0.03553012
2.79,4.15,0.035795181,0.035566265
2.8,4.17,0.035795181,
2.81,4.18,0.035795181,0.035566265
2.82,4.2,0.035795181,0.035566265
2.83,4.21,0.035638554,
2.84,4.23,0.035638554,0.035566265
2.85,4.24,0.035638554,0.035457831
2.86,4.26,0.035638554,
2.87,4.27,0.035698795,0.035457831
2.88,4.28,0.035698795,0.035457831
2.89,4.3,0.035698795,
2.9,4.31,0.035698795,0.035457831
2.91,4.33,0.035662651,0.035819277
2.92,4.34,0.035662651,
2.93,4.36,0.035662651,0.035819277
2.94,4.37,0.035662651,0.035819277
2.95,4.39,0.035566265,
2.96,4.4,0.035566265,0.035819277
2.97,4.42,0.035566265,0.035710843
2.98,4.43,0.035566265,
2.99,4.45,0.035746988,
3,4.46,0.035746988,0.035710843
3.01,4.48,0.035746988,
3.02,4.49,0.035746988,0.035710843
3.03,4.51,0.03586747,0.035554217
3.04,4.52,0.03586747,0.035554217
3.05,4.54,0.03586747,
3.06,4.55,0.03586747,0.035554217
3.07,4.57,0.035783133,0.035554217
3.08,4.58,0.035783133,
3.09,4.6,0.035783133,0.035831325
3.1,4.61,0.035783133,0.035831325
3.11,4.62,0.035891566,
3.12,4.64,0.035891566,0.035831325
3.13,4.65,0.035891566,0.035831325
3.14,4.67,0.035891566,
3.15,4.68,0.035746988,0.035710843
3.16,4.7,0.035746988,0.035710843
3.17,4.71,0.035746988,
3.18,4.73,0.035746988,0.035710843
3.19,4.74,0.035987952,0.035710843
3.2,4.76,0.035987952,
3.21,4.77,0.035987952,0.035710843
3.22,4.79,0.035987952,0.035710843
3.23,4.8,0.035662651,
3.24,4.82,0.035662651,0.035710843
3.25,4.83,0.035662651,0.035710843
3.26,4.85,0.035662651,
3.27,4.86,0.035783133,0.035722892
3.28,4.88,0.035783133,0.035722892
3.29,4.89,0.035783133,
3.3,4.9,0.035783133,0.035722892
3.31,4.92,0.035795181,0.035722892
3.32,4.93,0.035795181,0.035759036
3.33,4.95,0.035795181,
3.34,4.96,0.035795181,0.035759036
3.35,4.98,0.035879518,
3.36,4.99,0.035879518,0.035759036
3.37,5.01,0.035879518,0.035759036
3.38,5.02,0.035879518,0.03560241
3.39,5.04,0.035759036,
3.4,5.05,0.035759036,0.03560241
3.41,5.07,0.035759036,0.03560241
3.42,5.08,0.035759036,
3.43,5.1,0.03560241,0.03560241
3.44,5.11,0.03560241,0.035674699
3.45,5.13,0.03560241,
3.46,5.14,0.03560241,0.035674699
3.47,5.16,0.035891566,0.035674699
3.48,5.17,0.035891566,
3.49,5.18,0.035891566,0.035674699
3.5,5.2,0.035891566,0.03553012
3.51,5.22,0.035638554,
3.52,5.23,0.035638554,0.03553012
3.53,5.24,0.035638554,0.03553012
3.54,5.26,0.035638554,
3.55,5.27,0.035759036,0.03553012
3.56,5.29,0.035759036,0.035590361
3.57,5.3,0.035759036,
3.58,5.32,0.035759036,0.035590361
3.59,5.33,0.035855422,0.035590361
3.6,5.35,0.035855422,
3.61,5.36,0.035855422,0.035590361
3.62,5.38,0.035855422,0.035759036
3.63,5.39,0.035975904,
3.64,5.41,0.035975904,0.035759036
3.65,5.42,0.035975904,0.035759036
3.66,5.44,0.035975904,0.035759036
3.67,5.45,0.035722892,
3.68,5.47,0.035722892,0.035590361
3.69,5.48,0.035722892,0.035590361
3.7,5.5,0.035722892,
3.71,5.51,0.035891566,0.035590361
3.72,5.52,0.035891566,0.035590361
3.73,5.54,0.035891566,
3.74,5.55,0.035891566,0.035783133
3.75,5.57,0.035674699,0.035783133
3.76,5.58,0.035674699,
3.77,5.6,0.035674699,0.035783133
3.78,5.61,0.035674699,0.035783133
3.79,5.63,0.035554217,
3.8,5.64,0.035554217,0.035578313
3.81,5.66,0.035554217,0.035578313
3.82,5.67,0.035554217,
3.83,5.69,0.035746988,0.035578313
3.84,5.7,0.035746988,0.035578313
3.85,5.72,0.035746988,
3.86,5.73,0.035746988,0.035843373
3.87,5.75,0.035746988,0.035843373
3.88,5.77,0.035746988,
3.89,5.78,0.035746988,0.035843373
3.9,5.79,0.035746988,0.035843373
3.91,5.81,0.035831325,
3.92,5.82,0.035831325,0.035807229
3.93,5.84,0.035831325,0.035807229
3.94,5.85,0.035831325,0.035807229
3.95,5.86,0.035746988,
3.96,5.88,0.035746988,0.035807229
3.97,5.89,0.035746988,
3.98,5.91,0.035746988,0.035662651
3.99,5.92,0.035566265,0.035662651
4,5.94,0.035566265,
4.01,5.95,0.035566265,0.035662651
4.02,5.97,0.035566265,0.035662651
4.03,5.98,0.035855422,0.035698795
4.04,6,0.035855422,
4.05,6.01,0.035855422,0.035698795
4.06,6.03,0.035855422,0.035698795
4.07,6.04,0.035650602,
4.08,6.06,0.035650602,0.035698795
4.09,6.07,0.035650602,0.035771084
4.1,6.09,0.035650602,
4.11,6.1,0.035746988,0.035771084
4.12,6.12,0.035746988,0.035771084
4.13,6.13,0.035746988,
4.14,6.14,0.035746988,0.035771084
4.15,6.16,0.035710843,0.035795181
4.16,6.18,0.035710843,
4.17,6.19,0.035710843,0.035795181
4.18,6.2,0.035710843,0.035795181
4.19,6.22,0.035650602,
4.2,6.23,0.035650602,0.035795181
4.21,6.25,0.035650602,0.035638554
4.22,6.26,0.035650602,
4.23,6.28,0.035421687,0.035638554
4.24,6.29,0.035421687,0.035638554
4.25,6.31,0.035421687,
4.26,6.32,0.035421687,0.035638554
4.27,6.34,0.035650602,0.035698795
4.28,6.35,0.035650602,0.035698795
4.29,6.37,0.035650602,
4.3,6.38,0.035650602,0.035698795
4.31,6.4,0.035590361,0.035698795
4.32,6.41,0.035590361,
4.33,6.43,0.035590361,0.035662651
4.34,6.44,0.035590361,0.035662651
4.35,6.46,0.035722892,
4.36,6.47,0.035722892,0.035662651
4.37,6.48,0.035722892,0.035662651
4.38,6.5,0.035722892,
4.39,6.51,0.035807229,0.035566265
4.4,6.53,0.035807229,0.035566265
4.41,6.54,0.035807229,
4.42,6.56,0.035807229,0.035566265
4.43,6.57,0.035662651,0.035566265
4.44,6.59,0.035662651,
4.45,6.6,0.035662651,0.035746988
4.46,6.62,0.035662651,0.035746988
4.47,6.63,0.035746988,
4.48,6.65,0.035746988,0.035746988
4.49,6.66,0.035746988,0.035746988
4.5,6.68,0.035746988,
4.51,6.69,0.035807229,0.03586747
4.52,6.71,0.035807229,0.03586747
4.53,6.72,0.035807229,
4.54,6.74,0.035807229,0.03586747
4.55,6.75,0.035518072,0.03586747
4.56,6.76,0.035518072,
4.57,6.78,0.035518072,0.035783133
4.58,6.8,0.035518072,0.035783133
4.59,6.81,0.035710843,
4.6,6.82,0.035710843,0.035783133
4.61,6.84,0.035710843,0.035783133
4.62,6.85,0.035710843,0.035891566
4.63,6.87,0.035746988,
4.64,6.88,0.035746988,0.035891566
4.65,6.9,0.035746988,0.035891566
4.66,6.91,0.035746988,
4.67,6.93,0.035710843,0.035891566
4.68,6.94,0.035710843,0.035746988
4.69,6.96,0.035710843,
4.7,6.97,0.035710843,0.035746988
4.71,6.99,0.035951807,0.035746988
4.72,7,0.035951807,
4.73,7.02,0.035951807,0.035746988
4.74,7.03,0.035951807,0.035987952
4.75,7.05,0.035771084,
4.76,7.06,0.035771084,0.035987952
4.77,7.08,0.035771084,0.035987952
4.78,7.09,0.035771084,
4.79,7.1,0.035590361,0.035987952
4.8,7.12,0.035590361,0.035662651
4.81,7.13,0.035590361,
4.82,7.15,0.035590361,0.035662651
4.83,7.16,0.035903614,0.035662651
4.84,7.18,0.035903614,
4.85,7.19,0.035903614,0.035662651
4.86,7.21,0.035903614,0.035783133
4.87,7.22,0.036048193,
4.88,7.24,0.036048193,0.035783133
4.89,7.25,0.036048193,0.035783133
4.9,7.27,0.036048193,0.035783133
4.91,7.28,0.03573494,
4.92,7.3,0.03573494,0.035795181
4.93,7.31,0.03573494,0.035795181
4.94,7.33,0.03573494,
4.95,7.34,0.035855422,0.035795181
4.96,7.36,0.035855422,0.035795181
4.97,7.37,0.035855422,
4.98,7.38,0.035855422,0.035879518
4.99,7.4,0.036024096,0.035879518
5,7.42,0.036024096,
5.01,7.43,0.036024096,0.035879518
5.02,7.44,0.036024096,0.035879518
5.03,7.46,0.035927711,
5.04,7.48,0.035927711,0.035759036
5.05,7.49,0.035927711,0.035759036
5.06,7.5,0.035927711,
5.07,7.52,0.035783133,0.035759036
5.08,7.53,0.035783133,0.035759036
5.09,7.55,0.035783133,
5.1,7.56,0.035783133,0.03560241
5.11,7.58,0.035951807,0.03560241
5.12,7.59,0.035951807,
5.13,7.61,0.035951807,0.03560241
5.14,7.62,0.035951807,0.03560241
5.15,7.64,0.035722892,
5.16,7.65,0.035722892,0.035891566
5.17,7.66,0.035722892,0.035891566
5.18,7.68,0.035722892,0.035891566
5.19,7.7,0.035987952,
5.2,7.71,0.035987952,0.035891566
5.21,7.72,0.035987952,
5.22,7.74,0.035987952,0.035638554
5.23,7.75,0.035819277,0.035638554
5.24,7.77,0.035819277,0.035638554
5.25,7.78,0.035819277,
5.26,7.8,0.035819277,0.035638554
5.27,7.81,0.035831325,0.035759036
5.28,7.83,0.035831325,
5.29,7.84,0.035831325,0.035759036
5.3,7.86,0.035831325,0.035759036
5.31,7.87,0.035879518,
5.32,7.89,0.035879518,0.035759036
5.33,7.9,0.035879518,0.035855422
5.34,7.92,0.035879518,
5.35,7.93,0.035795181,0.035855422
5.36,7.94,0.035795181,0.035855422
5.37,7.96,0.035795181,
5.38,7.98,0.035795181,0.035855422
5.39,7.99,0.035819277,0.035975904
5.4,8,0.035819277,
5.41,8.02,0.035819277,0.035975904
5.42,8.03,0.035819277,0.035975904
5.43,8.05,0.035831325,
5.44,8.06,0.035831325,0.035975904
5.45,8.08,0.035831325,0.035722892
5.46,8.09,0.035831325,
5.47,8.11,0.035771084,0.035722892
5.48,8.12,0.035771084,0.035722892
5.49,8.14,0.035771084,
5.5,8.15,0.035771084,0.035722892
5.51,8.17,0.035638554,0.035891566
5.52,8.18,0.035638554,0.035891566
5.53,8.2,0.035638554,
5.54,8.21,0.035638554,0.035891566
5.55,8.23,0.035638554,0.035891566
